"id","syear","x","y"
64007,2006,32799073.254,5834944.176
64007,2007,32799073.254,5834944.176
64007,2008,32799073.254,5834944.176
64007,2009,32799073.254,5834944.176
56644,2000,32806548.334,5823718.334
56644,2001,32806548.334,5823718.334
56644,2002,32806548.334,5823718.334
56644,2003,32809947.129,5826007.723
56644,2004,32809947.129,5826007.723
56644,2005,32809947.129,5826007.723
56644,2006,32809947.129,5826007.723
56644,2007,32809947.129,5826007.723
56644,2008,32809947.129,5826007.723
56644,2009,32804611.901,5816740.838
56644,2010,32804611.901,5816740.838
56644,2011,32804611.901,5816740.838
56644,2012,32804611.901,5816740.838
56644,2013,32804611.901,5816740.838
56644,2014,32804611.901,5816740.838
56644,2015,32804611.901,5816740.838
56644,2016,32808410.964,5832856.073
56644,2017,32808410.964,5832856.073
56644,2018,32808410.964,5832856.073
56644,2019,32808410.964,5832856.073
56644,2020,32808410.964,5832856.073
56644,2021,32808410.964,5832856.073
98036,2000,32783668.754,5823862.849
98036,2001,32783668.754,5823862.849
98036,2002,32783668.754,5823862.849
98036,2003,32800747.659,5814444.151
98036,2004,32800747.659,5814444.151
98036,2005,32800747.659,5814444.151
98036,2006,32800747.659,5814444.151
98036,2007,32800747.659,5814444.151
24834,2000,32805153.996,5817713.835
24834,2001,32796771.524,5837250.546
24834,2002,32796771.524,5837250.546
24834,2003,32796771.524,5837250.546
24834,2004,32796771.524,5837250.546
24834,2005,32796771.524,5837250.546
24834,2006,32796771.524,5837250.546
24834,2007,32810570.977,5828361.594
24834,2008,32810570.977,5828361.594
24834,2009,32810570.977,5828361.594
24834,2010,32810570.977,5828361.594
24834,2011,32786221.646,5835025.775
24834,2012,32786221.646,5835025.775
24834,2013,32786221.646,5835025.775
24834,2014,32786221.646,5835025.775
24834,2015,32786221.646,5835025.775
24834,2016,32786221.646,5835025.775
24834,2017,32786221.646,5835025.775
24834,2018,32786221.646,5835025.775
24834,2019,32786221.646,5835025.775
24834,2020,32786221.646,5835025.775
24834,2021,32786221.646,5835025.775
38504,2000,32806854.168,5833834.752
38504,2001,32806854.168,5833834.752
38504,2002,32806854.168,5833834.752
38504,2003,32806854.168,5833834.752
38504,2004,32806854.168,5833834.752
38504,2005,32806854.168,5833834.752
38504,2006,32806854.168,5833834.752
38504,2007,32806854.168,5833834.752
38504,2008,32806854.168,5833834.752
38504,2009,32806854.168,5833834.752
47752,2000,32790998.33,5816849.532
47752,2001,32790998.33,5816849.532
75534,2000,32799402.419,5824811.956
75534,2001,32799402.419,5824811.956
75534,2002,32799402.419,5824811.956
75534,2003,32799402.419,5824811.956
75534,2004,32799402.419,5824811.956
75534,2005,32799402.419,5824811.956
75534,2006,32799402.419,5824811.956
75534,2007,32813595.538,5812816.468
75534,2008,32813595.538,5812816.468
75534,2009,32813595.538,5812816.468
75534,2010,32813595.538,5812816.468
75534,2011,32813595.538,5812816.468
75534,2012,32813595.538,5812816.468
75534,2013,32813595.538,5812816.468
75534,2014,32813595.538,5812816.468
75534,2015,32813595.538,5812816.468
75534,2016,32813595.538,5812816.468
75534,2017,32813595.538,5812816.468
75534,2018,32813595.538,5812816.468
75534,2019,32813595.538,5812816.468
75534,2020,32813595.538,5812816.468
75534,2021,32813595.538,5812816.468
99086,2000,32813625.848,5827721.195
81954,2000,32787382.451,5817054.526
81954,2001,32787382.451,5817054.526
81954,2002,32787382.451,5817054.526
81954,2003,32787382.451,5817054.526
81954,2004,32787382.451,5817054.526
32048,2000,32802028.628,5817319.428
32048,2001,32802028.628,5817319.428
32048,2002,32802028.628,5817319.428
32048,2003,32802028.628,5817319.428
36071,2000,32811873.601,5828355.44
36071,2001,32811873.601,5828355.44
36071,2002,32811873.601,5828355.44
36071,2003,32811873.601,5828355.44
36071,2004,32811873.601,5828355.44
36071,2005,32811873.601,5828355.44
36071,2006,32811873.601,5828355.44
36071,2007,32811873.601,5828355.44
36071,2008,32811873.601,5828355.44
36071,2009,32811873.601,5828355.44
36071,2010,32811873.601,5828355.44
36071,2011,32811873.601,5828355.44
15185,2000,32809037.529,5817684.794
15185,2001,32809037.529,5817684.794
15185,2002,32809037.529,5817684.794
15185,2003,32809037.529,5817684.794
15185,2004,32809037.529,5817684.794
57111,2000,32808108.536,5824849.552
57111,2001,32808108.536,5824849.552
57111,2002,32808108.536,5824849.552
57111,2003,32808108.536,5824849.552
57111,2004,32808108.536,5824849.552
57111,2005,32808108.536,5824849.552
73692,2000,32791579.172,5821938.278
73692,2001,32791579.172,5821938.278
73692,2002,32791579.172,5821938.278
73692,2003,32791579.172,5821938.278
73692,2004,32805348.842,5834267.448
73692,2005,32805348.842,5834267.448
73692,2006,32805348.842,5834267.448
73692,2007,32805348.842,5834267.448
73692,2008,32805348.842,5834267.448
73692,2009,32805348.842,5834267.448
29007,2000,32812039.786,5824615.851
29007,2001,32812039.786,5824615.851
29007,2002,32812039.786,5824615.851
29007,2003,32780577.498,5818831.758
29007,2004,32780577.498,5818831.758
29007,2005,32780577.498,5818831.758
29007,2006,32780577.498,5818831.758
29007,2007,32780577.498,5818831.758
29007,2008,32780577.498,5818831.758
29007,2009,32780577.498,5818831.758
29007,2010,32780577.498,5818831.758
29007,2011,32780577.498,5818831.758
29007,2012,32780577.498,5818831.758
37249,2000,32808706.452,5815318.166
37249,2001,32808706.452,5815318.166
37249,2002,32808706.452,5815318.166
37249,2003,32808706.452,5815318.166
37249,2004,32808706.452,5815318.166
37249,2005,32808706.452,5815318.166
37249,2006,32808706.452,5815318.166
37249,2007,32808706.452,5815318.166
37249,2008,32808706.452,5815318.166
37249,2009,32808706.452,5815318.166
37249,2010,32808706.452,5815318.166
37249,2011,32808706.452,5815318.166
37249,2012,32808706.452,5815318.166
37249,2013,32808706.452,5815318.166
37249,2014,32808706.452,5815318.166
44472,2000,32790473.042,5837565.373
44472,2001,32790473.042,5837565.373
44472,2002,32790473.042,5837565.373
44472,2003,32790473.042,5837565.373
44472,2004,32790473.042,5837565.373
44472,2005,32790473.042,5837565.373
44472,2006,32790473.042,5837565.373
44472,2007,32790473.042,5837565.373
44472,2008,32790473.042,5837565.373
44472,2009,32790473.042,5837565.373
44472,2010,32790473.042,5837565.373
44472,2011,32790473.042,5837565.373
44472,2012,32804799.452,5842585.901
44472,2013,32804799.452,5842585.901
44472,2014,32804799.452,5842585.901
44472,2015,32804799.452,5842585.901
44472,2016,32804799.452,5842585.901
44472,2017,32804799.452,5842585.901
44472,2018,32804799.452,5842585.901
44472,2019,32804799.452,5842585.901
44472,2020,32804799.452,5842585.901
44472,2021,32804799.452,5842585.901
95504,2000,32800226.075,5814475.824
95504,2001,32800226.075,5814475.824
95504,2002,32800226.075,5814475.824
95504,2003,32800226.075,5814475.824
95504,2004,32801041.469,5823920.3
95504,2005,32801041.469,5823920.3
95504,2006,32801041.469,5823920.3
38131,2000,32812700.148,5816542.563
38131,2001,32812700.148,5816542.563
38131,2002,32812700.148,5816542.563
71588,2000,32796542.467,5835604.758
71588,2001,32796542.467,5835604.758
71588,2002,32796542.467,5835604.758
71588,2003,32796542.467,5835604.758
71588,2004,32796542.467,5835604.758
71588,2005,32796542.467,5835604.758
71588,2006,32796542.467,5835604.758
71588,2007,32796542.467,5835604.758
71588,2008,32796542.467,5835604.758
71588,2009,32796542.467,5835604.758
71588,2010,32796542.467,5835604.758
71588,2011,32796542.467,5835604.758
71588,2012,32796542.467,5835604.758
71588,2013,32796542.467,5835604.758
37906,2000,32809411.537,5819043.284
37906,2001,32809411.537,5819043.284
37906,2002,32809411.537,5819043.284
37906,2003,32809411.537,5819043.284
37906,2004,32809411.537,5819043.284
37906,2005,32809411.537,5819043.284
37906,2006,32809411.537,5819043.284
37906,2007,32809411.537,5819043.284
37906,2008,32809411.537,5819043.284
37906,2009,32809411.537,5819043.284
37906,2010,32809411.537,5819043.284
37906,2011,32809411.537,5819043.284
37906,2012,32809411.537,5819043.284
46950,2000,32811993.425,5829949.585
46950,2001,32811993.425,5829949.585
46950,2002,32811993.425,5829949.585
46950,2003,32813696.24,5829136.899
46950,2004,32813696.24,5829136.899
46950,2005,32813696.24,5829136.899
46950,2006,32813696.24,5829136.899
46950,2007,32813696.24,5829136.899
46950,2008,32813696.24,5829136.899
46950,2009,32813696.24,5829136.899
46950,2010,32813696.24,5829136.899
46950,2011,32813696.24,5829136.899
46950,2012,32813696.24,5829136.899
46950,2013,32813696.24,5829136.899
46950,2014,32813696.24,5829136.899
46950,2015,32813696.24,5829136.899
46950,2016,32813696.24,5829136.899
46950,2017,32813696.24,5829136.899
46950,2018,32813696.24,5829136.899
46950,2019,32813696.24,5829136.899
46950,2020,32813696.24,5829136.899
46950,2021,32813696.24,5829136.899
22870,2000,32794005.009,5822914.377
22870,2001,32794005.009,5822914.377
22870,2002,32804270.286,5820508.844
22870,2003,32804270.286,5820508.844
22870,2004,32810422.204,5826001.37
22870,2005,32810422.204,5826001.37
22870,2006,32810422.204,5826001.37
22870,2007,32810422.204,5826001.37
22870,2008,32809620.775,5831347.274
22870,2009,32809620.775,5831347.274
22870,2010,32809620.775,5831347.274
22870,2011,32809620.775,5831347.274
22870,2012,32809620.775,5831347.274
22870,2013,32809620.775,5831347.274
22870,2014,32809519.868,5817451.798
52684,2000,32808670.177,5814995.329
52684,2001,32808670.177,5814995.329
52684,2002,32808670.177,5814995.329
52684,2003,32808670.177,5814995.329
52684,2004,32788702.826,5826871.17
52684,2005,32788702.826,5826871.17
52684,2006,32788702.826,5826871.17
52684,2007,32800900.827,5835497.166
52684,2008,32800900.827,5835497.166
52684,2009,32800900.827,5835497.166
52684,2010,32800900.827,5835497.166
52684,2011,32800900.827,5835497.166
52684,2012,32800900.827,5835497.166
52684,2013,32800900.827,5835497.166
52684,2014,32800900.827,5835497.166
52684,2015,32800900.827,5835497.166
52684,2016,32800900.827,5835497.166
52684,2017,32800900.827,5835497.166
52684,2018,32800900.827,5835497.166
62312,2000,32810306.431,5819491.802
62312,2001,32810306.431,5819491.802
18598,2000,32790378.436,5818804.883
18598,2001,32790378.436,5818804.883
18598,2002,32790378.436,5818804.883
18598,2003,32790378.436,5818804.883
18598,2004,32790378.436,5818804.883
18598,2005,32790378.436,5818804.883
92980,2000,32800199.203,5822776.403
92980,2001,32800199.203,5822776.403
49809,2000,32803933.313,5821933.736
49809,2001,32803933.313,5821933.736
49809,2002,32803933.313,5821933.736
49809,2003,32803933.313,5821933.736
49809,2004,32803933.313,5821933.736
49809,2005,32803933.313,5821933.736
49809,2006,32803933.313,5821933.736
49809,2007,32803933.313,5821933.736
49809,2008,32803933.313,5821933.736
49809,2009,32803933.313,5821933.736
49809,2010,32803933.313,5821933.736
49809,2011,32803933.313,5821933.736
49809,2012,32803933.313,5821933.736
49809,2013,32786784.177,5830647.602
49809,2014,32786784.177,5830647.602
49809,2015,32786784.177,5830647.602
49809,2016,32786784.177,5830647.602
49809,2017,32786784.177,5830647.602
49809,2018,32786784.177,5830647.602
81860,2000,32804916.99,5817115.815
59961,2000,32791261.463,5827388.411
59961,2001,32791261.463,5827388.411
59961,2002,32791261.463,5827388.411
59961,2003,32791261.463,5827388.411
59961,2004,32791261.463,5827388.411
59961,2005,32791261.463,5827388.411
59961,2006,32791261.463,5827388.411
59961,2007,32791261.463,5827388.411
59961,2008,32791261.463,5827388.411
35470,2000,32802073.62,5826389.747
35470,2001,32802073.62,5826389.747
35470,2002,32802073.62,5826389.747
35470,2003,32802073.62,5826389.747
35470,2004,32808222.808,5825206.526
35470,2005,32808222.808,5825206.526
35470,2006,32780899.132,5829306.638
35470,2007,32780899.132,5829306.638
35470,2008,32794147.258,5820585.623
35470,2009,32794147.258,5820585.623
35470,2010,32794147.258,5820585.623
35470,2011,32794147.258,5820585.623
55061,2000,32809517.229,5825509.486
55061,2001,32809517.229,5825509.486
55061,2002,32809517.229,5825509.486
55061,2003,32809517.229,5825509.486
55061,2004,32809517.229,5825509.486
55061,2005,32809517.229,5825509.486
55061,2006,32809517.229,5825509.486
55061,2007,32809517.229,5825509.486
55061,2008,32809517.229,5825509.486
55061,2009,32809517.229,5825509.486
55061,2010,32809517.229,5825509.486
91637,2000,32794753.548,5818529.772
91637,2001,32794753.548,5818529.772
91637,2002,32794753.548,5818529.772
91637,2003,32794753.548,5818529.772
91637,2004,32806450.654,5817091.259
91637,2005,32806450.654,5817091.259
91637,2006,32806450.654,5817091.259
91637,2007,32806450.654,5817091.259
91637,2008,32806450.654,5817091.259
91637,2009,32806450.654,5817091.259
91637,2010,32806450.654,5817091.259
91637,2011,32806450.654,5817091.259
91637,2012,32806450.654,5817091.259
91637,2013,32806450.654,5817091.259
91637,2014,32806450.654,5817091.259
91637,2015,32806450.654,5817091.259
91637,2016,32806450.654,5817091.259
91637,2017,32806450.654,5817091.259
91637,2018,32806450.654,5817091.259
91637,2019,32806450.654,5817091.259
91637,2020,32806450.654,5817091.259
91637,2021,32806450.654,5817091.259
18918,2000,32789670.413,5817925.663
18918,2001,32789670.413,5817925.663
18918,2002,32789670.413,5817925.663
18918,2003,32789670.413,5817925.663
18918,2004,32789670.413,5817925.663
18918,2005,32803187.105,5831987.156
18918,2006,32803187.105,5831987.156
18918,2007,32789627.006,5815779.24
18918,2008,32789627.006,5815779.24
18918,2009,32789627.006,5815779.24
18918,2010,32789627.006,5815779.24
18918,2011,32789627.006,5815779.24
18918,2012,32789627.006,5815779.24
18918,2013,32789627.006,5815779.24
18918,2014,32789627.006,5815779.24
18918,2015,32789627.006,5815779.24
18918,2016,32789627.006,5815779.24
18918,2017,32789627.006,5815779.24
18918,2018,32789627.006,5815779.24
18918,2019,32789627.006,5815779.24
18918,2020,32789627.006,5815779.24
18918,2021,32789627.006,5815779.24
44202,2000,32808847.279,5834606.516
44202,2001,32808847.279,5834606.516
44202,2002,32808847.279,5834606.516
44202,2003,32808847.279,5834606.516
44202,2004,32808847.279,5834606.516
44202,2005,32808847.279,5834606.516
44202,2006,32808847.279,5834606.516
44202,2007,32808847.279,5834606.516
44202,2008,32808847.279,5834606.516
44202,2009,32808847.279,5834606.516
44202,2010,32808847.279,5834606.516
56542,2000,32799195.256,5814208.711
56542,2001,32799195.256,5814208.711
56542,2002,32799195.256,5814208.711
56542,2003,32799195.256,5814208.711
56542,2004,32799195.256,5814208.711
56542,2005,32799195.256,5814208.711
56542,2006,32799195.256,5814208.711
56542,2007,32799195.256,5814208.711
56542,2008,32799195.256,5814208.711
56542,2009,32799195.256,5814208.711
56542,2010,32799195.256,5814208.711
56542,2011,32799195.256,5814208.711
56542,2012,32799195.256,5814208.711
56542,2013,32799195.256,5814208.711
56542,2014,32799195.256,5814208.711
56542,2015,32799195.256,5814208.711
56542,2016,32799195.256,5814208.711
18239,2000,32813448.755,5830782.986
18239,2001,32813448.755,5830782.986
18239,2002,32813448.755,5830782.986
18239,2003,32813448.755,5830782.986
18239,2004,32813448.755,5830782.986
18239,2005,32813448.755,5830782.986
18239,2006,32813448.755,5830782.986
18239,2007,32813448.755,5830782.986
18239,2008,32813448.755,5830782.986
18239,2009,32813448.755,5830782.986
18239,2010,32813448.755,5830782.986
18239,2011,32813448.755,5830782.986
18239,2012,32813448.755,5830782.986
18239,2013,32813448.755,5830782.986
18239,2014,32813448.755,5830782.986
18239,2015,32813448.755,5830782.986
18239,2016,32791045.684,5833840.96
18239,2017,32791045.684,5833840.96
18239,2018,32791045.684,5833840.96
18239,2019,32791045.684,5833840.96
21358,2000,32817510.668,5818097.579
21358,2001,32817510.668,5818097.579
21358,2002,32817510.668,5818097.579
21358,2003,32817510.668,5818097.579
21358,2004,32817510.668,5818097.579
21358,2005,32817510.668,5818097.579
21358,2006,32817510.668,5818097.579
21358,2007,32817510.668,5818097.579
21358,2008,32817510.668,5818097.579
21358,2009,32817510.668,5818097.579
21358,2010,32817510.668,5818097.579
21358,2011,32817510.668,5818097.579
21358,2012,32817510.668,5818097.579
21358,2013,32817510.668,5818097.579
21358,2014,32817510.668,5818097.579
21358,2015,32817510.668,5818097.579
21358,2016,32817510.668,5818097.579
21358,2017,32817510.668,5818097.579
21358,2018,32817510.668,5818097.579
21358,2019,32817510.668,5818097.579
21358,2020,32817510.668,5818097.579
21358,2021,32817510.668,5818097.579
49541,2000,32789021.357,5816240.945
49541,2001,32812608.748,5829234.337
49541,2002,32812608.748,5829234.337
49541,2003,32812608.748,5829234.337
49541,2004,32812608.748,5829234.337
49541,2005,32812608.748,5829234.337
49541,2006,32812608.748,5829234.337
49541,2007,32812608.748,5829234.337
49541,2008,32812608.748,5829234.337
49541,2009,32812608.748,5829234.337
49541,2010,32812608.748,5829234.337
49541,2011,32812608.748,5829234.337
49541,2012,32799080.053,5816001.13
81454,2000,32783052.633,5830430.976
81454,2001,32783052.633,5830430.976
81454,2002,32783052.633,5830430.976
81454,2003,32783052.633,5830430.976
81454,2004,32783052.633,5830430.976
81454,2005,32783052.633,5830430.976
81454,2006,32783052.633,5830430.976
81454,2007,32783052.633,5830430.976
81454,2008,32797125.045,5822240.234
81454,2009,32797125.045,5822240.234
81454,2010,32797125.045,5822240.234
41386,2000,32816466.274,5813377.829
41386,2001,32816466.274,5813377.829
41386,2002,32816466.274,5813377.829
41386,2003,32816466.274,5813377.829
41386,2004,32816466.274,5813377.829
41386,2005,32816466.274,5813377.829
41386,2006,32816466.274,5813377.829
41386,2007,32816466.274,5813377.829
41386,2008,32816466.274,5813377.829
41386,2009,32816466.274,5813377.829
41386,2010,32816466.274,5813377.829
70575,2000,32791779.16,5825298.169
70575,2001,32791779.16,5825298.169
70575,2002,32791779.16,5825298.169
70575,2003,32791779.16,5825298.169
70575,2004,32800935.15,5824720.809
70575,2005,32800825.231,5812725.754
70575,2006,32800825.231,5812725.754
70575,2007,32800825.231,5812725.754
70575,2008,32800825.231,5812725.754
70575,2009,32800825.231,5812725.754
70575,2010,32800825.231,5812725.754
70575,2011,32800825.231,5812725.754
70575,2012,32800825.231,5812725.754
