id,pop_sum,pop_diff_sum,x,y
500mN32535E45690,155,44,4569250,3253750
500mN32535E45695,173,7,4569750,3253750
500mN32540E45685,222,45,4568750,3254250
500mN32540E45690,167,29,4569250,3254250
500mN32540E45695,137,11,4569750,3254250
500mN32545E45685,256,1,4568750,3254750
500mN32545E45690,274,15,4569250,3254750
500mN32545E45695,0,0,4569750,3254750
500mN32545E45700,156,36,4570250,3254750
500mN32550E45685,152,5,4568750,3255250
500mN32550E45690,122,12,4569250,3255250
500mN32550E45695,0,0,4569750,3255250
500mN32550E45700,182,52,4570250,3255250
500mN32555E45685,0,0,4568750,3255750
500mN32555E45690,0,0,4569250,3255750
500mN32555E45695,0,0,4569750,3255750
500mN32555E45700,39,2,4570250,3255750
500mN32560E45685,76,-16,4568750,3256250
500mN32560E45690,0,0,4569250,3256250
500mN32560E45695,0,0,4569750,3256250
500mN32560E45700,0,0,4570250,3256250
500mN32560E45705,19,2,4570750,3256250
500mN32565E45685,675,-19,4568750,3256750
500mN32565E45690,63,-18,4569250,3256750
500mN32565E45695,0,0,4569750,3256750
500mN32565E45700,0,0,4570250,3256750
500mN32565E45705,0,0,4570750,3256750
500mN32570E45515,261,-5,4551750,3257250
500mN32570E45520,1036,55,4552250,3257250
500mN32570E45525,680,25,4552750,3257250
500mN32570E45530,1149,62,4553250,3257250
500mN32570E45535,696,70,4553750,3257250
500mN32570E45685,994,126,4568750,3257250
500mN32570E45690,254,10,4569250,3257250
500mN32570E45695,0,0,4569750,3257250
500mN32570E45700,0,0,4570250,3257250
500mN32570E45705,0,0,4570750,3257250
500mN32570E45710,0,0,4571250,3257250
500mN32570E45715,8,8,4571750,3257250
500mN32570E45720,69,6,4572250,3257250
500mN32575E45335,1174,0,4533750,3257750
500mN32575E45340,914,-262,4534250,3257750
500mN32575E45515,691,-26,4551750,3257750
500mN32575E45520,1597,-118,4552250,3257750
500mN32575E45525,1788,-34,4552750,3257750
500mN32575E45530,2298,119,4553250,3257750
500mN32575E45535,1181,217,4553750,3257750
500mN32575E45540,135,2,4554250,3257750
500mN32575E45660,715,78,4566250,3257750
500mN32575E45665,1197,26,4566750,3257750
500mN32575E45670,1499,5,4567250,3257750
500mN32575E45685,936,158,4568750,3257750
500mN32575E45690,466,115,4569250,3257750
500mN32575E45695,212,45,4569750,3257750
500mN32575E45700,15,9,4570250,3257750
500mN32575E45705,0,0,4570750,3257750
500mN32575E45710,0,0,4571250,3257750
500mN32575E45715,8,8,4571750,3257750
500mN32575E45720,30,7,4572250,3257750
500mN32575E45725,211,5,4572750,3257750
500mN32580E45335,914,-102,4533750,3258250
500mN32580E45340,547,-84,4534250,3258250
500mN32580E45355,0,0,4535750,3258250
500mN32580E45515,1688,-85,4551750,3258250
500mN32580E45520,2623,63,4552250,3258250
500mN32580E45525,1868,133,4552750,3258250
500mN32580E45530,1899,-64,4553250,3258250
500mN32580E45535,1772,-7,4553750,3258250
500mN32580E45540,767,22,4554250,3258250
500mN32580E45660,66,20,4566250,3258250
500mN32580E45665,295,10,4566750,3258250
500mN32580E45670,926,36,4567250,3258250
500mN32580E45675,1132,17,4567750,3258250
