id,pop_sum,pop_diff_sum,x,y
500mN31275E44780,0,0,4478250,3127750
500mN31275E44785,0,0,4478750,3127750
500mN31275E44790,0,0,4479250,3127750
500mN31280E44780,0,0,4478250,3128250
500mN31280E44785,0,0,4478750,3128250
500mN31280E44790,0,0,4479250,3128250
500mN31280E44795,0,0,4479750,3128250
500mN31285E44780,0,0,4478250,3128750
500mN31285E44785,0,0,4478750,3128750
500mN31285E44790,0,-28,4479250,3128750
500mN31285E44795,0,0,4479750,3128750
500mN31290E44780,0,0,4478250,3129250
500mN31290E44785,4,4,4478750,3129250
500mN31290E44790,323,-13,4479250,3129250
500mN31290E44795,235,-42,4479750,3129250
500mN31295E44780,0,0,4478250,3129750
500mN31295E44785,0,0,4478750,3129750
500mN31295E44790,156,8,4479250,3129750
500mN31295E44795,147,-20,4479750,3129750
500mN31300E44780,0,0,4478250,3130250
500mN31300E44785,0,0,4478750,3130250
500mN31300E44790,0,0,4479250,3130250
500mN31300E44795,0,0,4479750,3130250
500mN31305E44775,3,3,4477750,3130750
500mN31305E44780,0,0,4478250,3130750
500mN31305E44785,0,0,4478750,3130750
500mN31305E44790,4,-2,4479250,3130750
500mN31305E44795,0,0,4479750,3130750
500mN31310E44780,0,0,4478250,3131250
500mN31310E44785,0,0,4478750,3131250
500mN31310E44790,0,0,4479250,3131250
500mN31310E44795,103,1,4479750,3131250
500mN31315E44775,4,0,4477750,3131750
500mN31315E44780,0,0,4478250,3131750
500mN31315E44785,0,0,4478750,3131750
500mN31315E44790,0,0,4479250,3131750
500mN31315E44795,137,3,4479750,3131750
500mN31320E44775,0,0,4477750,3132250
500mN31320E44780,0,0,4478250,3132250
500mN31320E44785,0,0,4478750,3132250
500mN31320E44790,0,0,4479250,3132250
500mN31320E44795,0,0,4479750,3132250
500mN31325E44775,0,0,4477750,3132750
500mN31325E44780,24,4,4478250,3132750
500mN31325E44785,176,-15,4478750,3132750
500mN31325E44790,27,0,4479250,3132750
500mN31325E44795,0,0,4479750,3132750
500mN31330E44780,261,8,4478250,3133250
500mN31330E44785,512,26,4478750,3133250
500mN31330E44790,27,0,4479250,3133250
500mN31330E44795,0,0,4479750,3133250
