id,pop_sum,pop_diff_sum,x,y
500mN27780E44295,37,-27,4429750,2778250
500mN27800E44240,688,22,4424250,2780250
500mN27800E44245,6,0,4424750,2780250
500mN27800E44250,0,0,4425250,2780250
500mN27800E44255,0,0,4425750,2780250
500mN27800E44260,0,0,4426250,2780250
500mN27805E44240,1904,145,4424250,2780750
500mN27805E44245,74,26,4424750,2780750
500mN27805E44250,0,0,4425250,2780750
500mN27805E44255,6,6,4425750,2780750
500mN27805E44260,3,3,4426250,2780750
500mN27805E44265,58,7,4426750,2780750
500mN27805E44270,827,101,4427250,2780750
500mN27805E44285,233,20,4428750,2780750
500mN27805E44290,724,150,4429250,2780750
500mN27805E44295,441,12,4429750,2780750
500mN27810E44240,3522,602,4424250,2781250
500mN27810E44245,351,137,4424750,2781250
500mN27810E44250,6,-25,4425250,2781250
500mN27810E44255,445,386,4425750,2781250
500mN27810E44260,448,401,4426250,2781250
500mN27810E44265,401,133,4426750,2781250
500mN27810E44270,1717,367,4427250,2781250
500mN27810E44275,1311,327,4427750,2781250
500mN27810E44280,1174,135,4428250,2781250
500mN27810E44285,1439,-65,4428750,2781250
500mN27810E44290,3390,522,4429250,2781250
500mN27810E44295,2366,8,4429750,2781250
500mN27815E44240,1947,244,4424250,2781750
500mN27815E44245,117,22,4424750,2781750
500mN27815E44250,3,-11,4425250,2781750
500mN27815E44255,795,603,4425750,2781750
500mN27815E44260,1604,712,4426250,2781750
500mN27815E44265,2642,1334,4426750,2781750
500mN27815E44270,1642,745,4427250,2781750
500mN27815E44275,687,553,4427750,2781750
500mN27815E44280,2003,315,4428250,2781750
500mN27815E44285,2444,114,4428750,2781750
500mN27815E44290,2805,363,4429250,2781750
500mN27815E44295,3258,199,4429750,2781750
500mN27820E44240,0,0,4424250,2782250
500mN27820E44245,0,0,4424750,2782250
500mN27820E44250,0,0,4425250,2782250
500mN27820E44255,591,260,4425750,2782250
500mN27820E44260,3194,232,4426250,2782250
500mN27820E44265,3780,334,4426750,2782250
500mN27820E44270,1420,171,4427250,2782250
500mN27820E44275,1500,794,4427750,2782250
500mN27820E44280,2494,468,4428250,2782250
500mN27820E44285,2648,251,4428750,2782250
500mN27820E44290,3357,696,4429250,2782250
500mN27820E44295,4925,742,4429750,2782250
500mN27825E44235,0,0,4423750,2782750
500mN27825E44240,0,0,4424250,2782750
500mN27825E44245,0,0,4424750,2782750
500mN27825E44250,0,0,4425250,2782750
500mN27825E44255,3315,1067,4425750,2782750
500mN27825E44260,5437,107,4426250,2782750
500mN27825E44265,3789,343,4426750,2782750
500mN27825E44270,2984,173,4427250,2782750
500mN27825E44275,4403,69,4427750,2782750
500mN27825E44280,3906,-377,4428250,2782750
500mN27825E44285,2529,522,4428750,2782750
500mN27825E44290,5354,864,4429250,2782750
500mN27825E44295,3357,1026,4429750,2782750
500mN27830E44230,0,0,4423250,2783250
500mN27830E44235,0,0,4423750,2783250
500mN27830E44240,0,0,4424250,2783250
500mN27830E44245,0,0,4424750,2783250
500mN27830E44250,9,4,4425250,2783250
500mN27830E44255,2120,833,4425750,2783250
500mN27830E44260,4281,1268,4426250,2783250
500mN27830E44265,2872,713,4426750,2783250
500mN27830E44270,3140,1355,4427250,2783250
500mN27830E44275,3082,397,4427750,2783250
500mN27830E44280,2537,72,4428250,2783250
500mN27830E44285,1232,220,4428750,2783250
500mN27830E44290,2049,206,4429250,2783250
500mN27830E44295,1917,212,4429750,2783250
500mN27835E44220,0,0,4422250,2783750
500mN27835E44225,0,0,4422750,2783750
500mN27835E44230,0,0,4423250,2783750
500mN27835E44235,0,0,4423750,2783750
500mN27835E44240,0,0,4424250,2783750
500mN27835E44245,0,0,4424750,2783750
500mN27835E44250,4,4,4425250,2783750
500mN27835E44255,530,252,4425750,2783750
500mN27835E44260,2386,892,4426250,2783750
500mN27835E44265,2597,772,4426750,2783750
500mN27835E44270,2957,1216,4427250,2783750
500mN27835E44275,1248,113,4427750,2783750
500mN27835E44280,1504,-96,4428250,2783750
500mN27835E44285,3337,205,4428750,2783750
500mN27835E44290,1716,543,4429250,2783750
500mN27835E44295,1633,134,4429750,2783750
500mN27840E44220,0,0,4422250,2784250
500mN27840E44225,0,0,4422750,2784250
500mN27840E44230,0,0,4423250,2784250
500mN27840E44235,0,0,4423750,2784250
500mN27840E44240,0,0,4424250,2784250
500mN27840E44245,0,0,4424750,2784250
500mN27840E44250,4,4,4425250,2784250
500mN27840E44255,1130,66,4425750,2784250
500mN27840E44260,2829,201,4426250,2784250
500mN27840E44265,1387,94,4426750,2784250
500mN27840E44270,480,27,4427250,2784250
500mN27840E44275,1419,152,4427750,2784250
500mN27840E44280,3969,-153,4428250,2784250
500mN27840E44285,3496,82,4428750,2784250
500mN27840E44290,1644,563,4429250,2784250
500mN27840E44295,1209,114,4429750,2784250
500mN27845E44225,39,1,4422750,2784750
500mN27845E44230,5,-1,4423250,2784750
500mN27845E44235,3,0,4423750,2784750
500mN27845E44240,0,0,4424250,2784750
500mN27845E44245,0,0,4424750,2784750
500mN27845E44250,0,0,4425250,2784750
500mN27845E44255,786,88,4425750,2784750
500mN27845E44260,1336,255,4426250,2784750
500mN27845E44265,148,26,4426750,2784750
500mN27845E44270,3,-9,4427250,2784750
500mN27845E44275,811,149,4427750,2784750
500mN27845E44280,1069,-2,4428250,2784750
500mN27845E44285,465,70,4428750,2784750
500mN27845E44290,900,224,4429250,2784750
500mN27845E44295,2277,369,4429750,2784750
500mN27850E44225,408,-128,4422750,2785250
500mN27850E44230,0,0,4423250,2785250
500mN27850E44235,118,1,4423750,2785250
500mN27850E44240,617,6,4424250,2785250
500mN27850E44245,92,-25,4424750,2785250
500mN27850E44250,21,15,4425250,2785250
500mN27850E44255,1093,140,4425750,2785250
500mN27850E44260,1187,283,4426250,2785250
500mN27850E44265,29,8,4426750,2785250
500mN27850E44270,0,0,4427250,2785250
500mN27850E44275,22,2,4427750,2785250
500mN27850E44280,18,7,4428250,2785250
500mN27850E44285,86,59,4428750,2785250
500mN27850E44290,1090,292,4429250,2785250
500mN27850E44295,2008,120,4429750,2785250
500mN27855E44225,2987,-74,4422750,2785750
500mN27855E44230,527,0,4423250,2785750
500mN27855E44235,320,29,4423750,2785750
500mN27855E44240,651,29,4424250,2785750
